Year,SSB,Rec
1959,195.87,120.19
1960,188.44,129.17
1961,190.97,166.3
1962,180.71,195.03
1963,167,201.76
1964,153.33,199.24
1965,149.03,160.02
1966,142.55,128.88
1967,133.55,101.2
1968,144.75,111.16
1969,133.01,92.07
1970,120.26,77.94
1971,114.14,97.72
1972,102.4,101.6
1973,83.82,89.65
1974,78.2,82.56
1975,87.77,50.46
1976,82.15,33.92
1977,78.73,43.23
1978,70.56,72.59
1979,78.8,52.08
1980,97.51,102.86
1981,110.82,129.35
1982,125.73,133.14
1983,111.47,108.73
1984,121.09,125.22
1985,130.39,145.24
1986,126.01,161.37
1987,115.97,149.96
1988,102.62,79.43
1989,91.97,111.7
1990,73.52,60.78
1991,64.5,27.04
1992,51.61,35.46
1993,38.8,32.75
1994,45.23,28.59
1995,84.89,27.81
1996,75.66,27.13
1997,77.3,39.77
1998,86.09,47.62
1999,77.72,36.2
2000,65.37,21.37
2001,51.65,28.5
2002,51.06,29.23
2003,53.97,29.62
2004,55.11,33.72
2005,53.69,24.62
2006,54.22,24.68
2007,47.91,18.35
2008,39.56,24.94
2009,34.49,26
2010,29.42,19
2011,28.44,23
2012,27.46,10
2013,25.49,8
2014,26.15,6
2015,25.49,7
2016,26.15,12
2017,29.42,18.5
