Stock,Year,Rec,SSB
CSSI,1958,1565890,161334
CSSI,1959,364794,164597
CSSI,1960,392084,163568
CSSI,1961,837339,140782
CSSI,1962,405494,141639
CSSI,1963,1380210,133415
CSSI,1964,421391,156244
CSSI,1965,741245,163262
CSSI,1966,774993,160541
CSSI,1967,907207,155728
CSSI,1968,469158,160102
CSSI,1969,254830,140401
CSSI,1970,824154,105959
CSSI,1971,282493,96944
CSSI,1972,327066,84859.5
CSSI,1973,163005,63616.5
CSSI,1974,204165,49390.1
CSSI,1975,227463,39136.9
CSSI,1976,186562,36450.7
CSSI,1977,148045,37231.5
CSSI,1978,282152,36164.1
CSSI,1979,168531,36191.2
CSSI,1980,465638,33219.4
CSSI,1981,724151,36507
CSSI,1982,783337,57320.8
CSSI,1983,664944,75991
CSSI,1984,640184,78368.5
CSSI,1985,650742,84308.6
CSSI,1986,1193220,92047.1
CSSI,1987,474983,104077
CSSI,1988,574641,107523
CSSI,1989,503264,94440.7
CSSI,1990,208551,88053.1
CSSI,1991,958184,69915.9
CSSI,1992,359652,69682.6
CSSI,1993,766083,72325
CSSI,1994,717939,79110.2
CSSI,1995,351797,80547.6
CSSI,1996,370511,71110.1
CSSI,1997,247178,58563.3
CSSI,1998,473462,46588.8
CSSI,1999,459347,40176.4
CSSI,2000,482831,39559.1
CSSI,2001,441827,38921.5
CSSI,2002,140515,47992.4
CSSI,2003,360061,37059
CSSI,2004,1079510,34334.6
CSSI,2005,373947,51842
CSSI,2006,833003,66214
CSSI,2007,355107,72018.8
CSSI,2008,1322000,89275
CSSI,2009,1022150,109082
CSSI,2010,1357600,126711
CSSI,2011,948465,144935
CSSI,2012,530679,141113
CSSI,2013,1157860,132941
CSSI,2014,541000,126991
GoR,1977,1076457,54522
GoR,1978,976901,49355
GoR,1979,1110273,46737
GoR,1980,908342,46710
GoR,1981,1688316,47219
GoR,1982,1253252,42753
GoR,1983,2025191,50845
GoR,1984,1382652,39899
GoR,1985,1116533,51895
GoR,1986,3904236,64155
GoR,1987,557235,51373
GoR,1988,1278873,96200
GoR,1989,3590466,62881
GoR,1990,3630526,76630
GoR,1991,4245148,86130
GoR,1992,3202706,104434
GoR,1993,2741908,118460
GoR,1994,3440148,122244
GoR,1995,4626028,113805
GoR,1996,1566281,102933
GoR,1997,2755064,100901
GoR,1998,2871835,79436
GoR,1999,2633858,81516
GoR,2000,6066772,81505
GoR,2001,2260420,77540
GoR,2002,6919267,99111
GoR,2003,1012183,84773
GoR,2004,3112373,90379
GoR,2005,6775945,71574
GoR,2006,1945031,68967
GoR,2007,5257057,88226
GoR,2008,2607299,85910
GoR,2009,2652806,100413
GoR,2010,948469,93128
GoR,2011,4357052,92260
GoR,2012,4824102,76022
GoR,2013,620549,87909
GoR,2014,3119442,103405
WBSS,1991,3941217,303458
WBSS,1992,3693186,310519
WBSS,1993,3569728,277895
WBSS,1994,4252425,226160
WBSS,1995,4097961,194658
WBSS,1996,3984809,135537
WBSS,1997,3801856,148005
WBSS,1998,3996782,115844
WBSS,1999,4057185,113550
WBSS,2000,3392237,121297
WBSS,2001,3341733,129573
WBSS,2002,2963851,162755
WBSS,2003,2908069,130875
WBSS,2004,2495501,138552
WBSS,2005,2154351,133653
WBSS,2006,1889835,156373
WBSS,2007,1735837,122516
WBSS,2008,1669442,105451
WBSS,2009,1677810,94656
WBSS,2010,1895513,91950
WBSS,2011,1817550,89949
WBSS,2012,1778001,93153
WBSS,2013,1943498,110747
WBSS,2014,2024837,118539
WBSS,2015,1820096,129845
EB,1974,13326159,1682419
EB,1975,26350490,1575258
EB,1976,13394848,1366761
EB,1977,15694237,1518769
EB,1978,12846729,1441083
EB,1979,18700946,1408854
EB,1980,31164382,1357466
EB,1981,29058970,1286459
EB,1982,22091726,1428073
EB,1983,29392650,1405746
EB,1984,22824632,1318511
EB,1985,11483686,1265959
EB,1986,20931046,1201430
EB,1987,9343368,1146207
EB,1988,14121048,1149349
EB,1989,18773456,1011683
EB,1990,14572920,868697
EB,1991,17654740,779047
EB,1992,16212562,798752
EB,1993,15530618,749694
EB,1994,19746536,756137
EB,1995,16616435,661870
EB,1996,9807850,607154
EB,1997,15502938,571598
EB,1998,8445892,520056
EB,1999,15888799,442120
EB,2000,11448120,451656
EB,2001,11018742,405680
EB,2002,21788620,422897
EB,2003,13692690,489399
EB,2004,8999142,499874
EB,2005,16051599,561197
EB,2006,14419835,624152
EB,2007,28616912,655926
EB,2008,21645668,674088
EB,2009,15590471,786991
EB,2010,9499102,857453
EB,2011,27564046,859512
EB,2012,21514928,898035
EB,2013,16238513,956055
EB,2014,29548000,1007528
BS,1973,2799636,183322
BS,1974,2819302,172646
BS,1975,4089773,173512
BS,1976,1692979,194269
BS,1977,1040280,201793
BS,1978,1081652,211504
BS,1979,1996687,193881
BS,1980,2260282,178975
BS,1981,3790468,168721
BS,1982,4799393,170246
BS,1983,7610200,200186
BS,1984,7519423,251450
BS,1985,2049282,284361
BS,1986,4601993,330380
BS,1987,2665761,404335
BS,1988,9752166,403124
BS,1989,9463946,501822
BS,1990,6452641,584785
BS,1991,7610200,615999
BS,1992,8088873,678744
BS,1993,4901246,615999
BS,1994,5722979,691764
BS,1995,5368183,548532
BS,1996,4765915,520216
BS,1997,8850637,425917
BS,1998,4833107,391601
BS,1999,7195742,419996
BS,2000,6293324,435391
BS,2001,8589061,458630
BS,2002,13964096,460469
BS,2003,3843908,431922
BS,2004,4789804,438450
BS,2005,7489406,510426
BS,2006,10170480,497325
BS,2007,8293644,477347
BS,2008,10734785,469301
BS,2009,9029432,560733
BS,2010,6844801,637303
BS,2011,11106044,598391
BS,2012,10649250,600189
BS,2013,11006538,674684
BS,2014,7489406,695927
WoSWoI,1957,2152197.562,356111.798
WoSWoI,1958,3318422.243,357181.7376
WoSWoI,1959,2092771.872,338405.446
WoSWoI,1960,3029778.28,398714.1408
WoSWoI,1961,3671093.015,432354.0103
WoSWoI,1962,3405832.633,434086.8898
WoSWoI,1963,2099059.615,467895.3786
WoSWoI,1964,8113176.286,515555.3767
WoSWoI,1965,2067808.689,479260.7061
WoSWoI,1966,3828562.637,733806.0239
WoSWoI,1967,4278016.391,782305.0242
WoSWoI,1968,3782894.442,758425.6117
WoSWoI,1969,5131969.184,718556.7749
WoSWoI,1970,8788898.949,678066.0628
WoSWoI,1971,4024857.24,606827.594
WoSWoI,1972,2126525.532,701516.711
WoSWoI,1973,2618206.24,739700.0166
WoSWoI,1974,2966816.351,454521.2745
WoSWoI,1975,1810294.324,285500.7685
WoSWoI,1976,1792281.595,241832.3509
WoSWoI,1977,2141463.432,210028.8119
WoSWoI,1978,1912649.478,203821.5225
WoSWoI,1979,1984743.015,218600.2504
WoSWoI,1980,2952019.292,276233.0024
WoSWoI,1981,2222181.658,314896.7228
WoSWoI,1982,4417126.811,315527.1465
WoSWoI,1983,2610363.391,264871.4784
WoSWoI,1984,3460764.236,348362.889
WoSWoI,1985,2824946.544,422523.354
WoSWoI,1986,3909812.591,470711.1899
WoSWoI,1987,1808484.935,427624.178
WoSWoI,1988,1976819.899,487965.507
WoSWoI,1989,2045187.438,559053.2461
WoSWoI,1990,1899307.682,565236.7789
WoSWoI,1991,2763476.371,536595.5908
WoSWoI,1992,2628700.038,462314.1882
WoSWoI,1993,3175577.298,520216.3179
WoSWoI,1994,1949337.248,407990.8391
WoSWoI,1995,2378546.156,326766.1316
WoSWoI,1996,3081724.806,334703.3848
WoSWoI,1997,2681803.302,270763.2224
WoSWoI,1998,2530683.545,343519.7894
WoSWoI,1999,4151581.899,361132.4256
WoSWoI,2000,3197884.323,331704.5692
WoSWoI,2001,3295274.4,470711.1899
WoSWoI,2002,1982759.264,529135.5943
WoSWoI,2003,2169484.197,545250.1723
WoSWoI,2004,1762070.331,480700.6471
WoSWoI,2005,1835816.684,438888.2044
WoSWoI,2006,1257957.586,461852.1051
WoSWoI,2007,1412681.176,486990.5513
WoSWoI,2008,1806677.354,460468.625
WoSWoI,2009,2746945.156,416232.8008
WoSWoI,2010,1741051.85,372502.862
WoSWoI,2011,1102399.802,305895.8612
WoSWoI,2012,538207.7947,346972.2207
WoSWoI,2013,408399.034,280127.462
WoSWoI,2014,623435,229808.1249
ISS,1987,301186,383848
ISS,1988,842220,423358
ISS,1989,1035186,385594
ISS,1990,637975,349988
ISS,1991,694264,309942
ISS,1992,204385,343679
ISS,1993,182845,424510
ISS,1994,778409,442078
ISS,1995,324799,407931
ISS,1996,564125,309423
ISS,1997,407064,271316
ISS,1998,495361,301551
ISS,1999,1566444,293870
ISS,2000,1180030,313052
ISS,2001,802061,281347
ISS,2002,1159326,314323
ISS,2003,863161,421209
ISS,2004,912519,542168
ISS,2005,877954,609830
ISS,2006,802971,730112
ISS,2007,646270,702111
ISS,2008,629267,756953
ISS,2009,421941,641662
ISS,2010,413974,452964
ISS,2011,101479,393458
ISS,2012,476547,442475
IS,1961,85476.77666,7942.632116
IS,1962,127516.3665,5934.867609
IS,1963,169566.4221,5181.759762
IS,1964,183872.8932,5180.723514
IS,1965,269682.3328,7669.44859
IS,1966,331373.0304,9100.639821
IS,1967,385385.727,10817.27855
IS,1968,386930.3571,25134.58336
IS,1969,441088.1407,31288.3155
IS,1970,448202.3126,40659.99646
IS,1971,431921.8724,43564.59247
IS,1972,466960.5231,38676.98503
IS,1973,374370.0404,32080.38297
IS,1974,331704.5692,38025.03357
IS,1975,278173.4169,28424.30875
IS,1976,261712.0153,18967.83635
IS,1977,217075.3918,13990.02703
IS,1978,172473.6931,12240.43384
IS,1979,166541.5322,11002.74427
IS,1980,177726.299,11043.52983
IS,1981,184609.8577,10843.27119
IS,1982,174555.8453,12189.13183
IS,1983,162754.7914,14308.37058
IS,1984,176133.9387,16228.10671
IS,1985,189472.6565,16002.49618
IS,1986,194075.0075,17961.75403
IS,1987,147856.8714,15881.33819
IS,1988,142486.1385,17689.03084
IS,1989,125492.34,14205.72029
IS,1990,109644.6543,13803.8111
IS,1991,128412.1125,9450.283311
IS,1992,99111.42487,8890.157101
IS,1993,118776.636,8771.823601
IS,1994,112420.3219,9778.095403
IS,1995,100911.5833,9085.181876
IS,1996,104297.2214,7166.695868
IS,1997,109535.0644,6896.711619
IS,1998,84372.77015,7109.591025
IS,1999,85220.73059,6943.769072
IS,2000,92410.88004,7275.006605
IS,2001,94750.2726,5625.133724
IS,2002,120813.0997,5753.709177
IS,2003,141068.3777,5437.637704
IS,2004,166874.9486,7689.415102
IS,2005,216858.4249,9127.069981
IS,2006,262760.9599,9577.769356
IS,2007,246471.094,13377.10577
IS,2008,263550.4263,16412.52431
IS,2009,271848.4443,17451.83361
IS,2010,243287.7067,19438.28784
IS,2011,233748.2592,20134.70053
IS,2012,197205.1823,19602.25716
IS,2013,194658.1067,18820.46273
IS,2014,159712.9361,18854.37007
NSAS,1947,74551446.35,3767793.087
NSAS,1948,67727306.35,3181934.808
NSAS,1949,58410136.33,3103372.558
NSAS,1950,82145284.52,3029778.28
NSAS,1951,74402492.46,2841947.174
NSAS,1952,74328127.15,2791249.771
NSAS,1953,80438220.46,2618206.24
NSAS,1954,74925137.03,2436321.798
NSAS,1955,66519121.12,2412079.991
NSAS,1956,48158104.51,2226630.468
NSAS,1957,136113547,2043143.273
NSAS,1958,49032799.02,1698065.127
NSAS,1959,58002693.09,2633962.699
NSAS,1960,22009835.95,2253510.995
NSAS,1961,113011484,2141463.432
NSAS,1962,52483007.05,1530339.249
NSAS,1963,79717524.47,2488025.545
NSAS,1964,83553691.9,2400049.692
NSAS,1965,38034340.23,1947388.885
NSAS,1966,34622004.29,1581682.956
NSAS,1967,43055476.79,1026843.406
NSAS,1968,41243331.62,564107.435
NSAS,1969,19249583.84,511959.0908
NSAS,1970,36910255.6,489921.278
NSAS,1971,27017625.3,348014.7003
NSAS,1972,17716376.57,350109.0653
NSAS,1973,8806494.336,302247.0475
NSAS,1974,16902971.62,203007.8648
NSAS,1975,3764027.177,117830.2137
NSAS,1976,4876800.853,165710.9029
NSAS,1977,5509585.768,124367.9762
NSAS,1978,5694435.341,154662.4068
NSAS,1979,11184058.79,190041.9279
NSAS,1980,16919883.05,210870.6097
NSAS,1981,37655892.23,309279.2904
NSAS,1982,60188989.81,430628.0485
NSAS,1983,56797337.07,646287.6744
NSAS,1984,53704105.01,1031990.48
NSAS,1985,68544929.96,1095805.207
NSAS,1986,81327925.29,1126921.346
NSAS,1987,83136966.13,1310605.759
NSAS,1988,43098553.8,1679488.767
NSAS,1989,36324390.93,1749778.909
NSAS,1990,30371037.55,1785126.787
NSAS,1991,31832552.89,1544174.467
NSAS,1992,60249208.9,1177612.922
NSAS,1993,52064817.98,834009.4398
NSAS,1994,36984149.98,903471.6405
NSAS,1995,48158104.51,952647.2812
NSAS,1996,45901116.53,1090339.856
NSAS,1997,31139884.02,1251683.496
NSAS,1998,22908074.39,1516627.989
NSAS,1999,74850249.34,1592793.578
NSAS,2000,49624737.14,1583265.43
NSAS,2001,90061200.25,2154350.836
NSAS,2002,45672183.76,2478093.32
NSAS,2003,22009835.95,2535749.977
NSAS,2004,26376921.5,2502998.572
NSAS,2005,24324630.6,2373793.817
NSAS,2006,28602366.01,1857979.194
NSAS,2007,28092129.33,1497039.426
NSAS,2008,28889824.57,1558134.764
NSAS,2009,38647784.14,1908828.002
NSAS,2010,38378194.32,1970898.326
NSAS,2011,32508104.97,2397650.842
NSAS,2012,36215581.05,2586975.524
NSAS,2013,38339835.31,2285282.027
NSAS,2014,68888512.85,2219960.587
NSAS,2015,17175594.33,2215525.103
